city,Restaurant_Count,Average_Rating
Abu Dhabi,20,4.3
Agra,20,3.96
Ahmedabad,21,4.16
Albany,20,3.56
Allahabad,20,3.4
Amritsar,21,3.69
Ankara,20,4.3
Athens,20,4.2
Auckland,20,4.28
Augusta,20,4.13
Aurangabad,20,3.38
Bangalore,20,4.38
Bhopal,20,3.95
Bhubaneshwar,21,3.98
Birmingham,19,3.87
Boise,20,4.26
Bras�_lia,19,3.68
Cape Town,20,4.11
Cedar Rapids/Iowa City,20,4.16
Chandigarh,18,4.05
Chennai,20,4.31
Coimbatore,20,4.14
Colombo,20,3.87
Columbus,20,4.03
Dalton,20,4.11
Davenport,18,4.13
Dehradun,20,4.05
Des Moines,20,4.24
Doha,20,4.06
Dubai,20,4.37
Dubuque,20,3.54
Edinburgh,20,4.09
Faridabad,151,3.1
Gainesville,20,4.04
Ghaziabad,23,3.1
Goa,20,4.24
Gurgaon,890,3.33
Guwahati,21,4.19
Hyderabad,18,4.34
Indore,20,3.97
Jaipur,20,4.13
Jakarta,16,4.36
Kanpur,20,3.82
Kochi,20,4.08
Kolkata,20,4.26
London,20,4.54
Lucknow,21,4.2
Ludhiana,20,3.98
Macon,20,4.12
Manchester,20,4.04
Mangalore,20,3.74
Mumbai,20,4.08
Mysore,20,3.7
Nagpur,20,3.96
Nashik,20,3.52
New Delhi,4048,3.3
Noida,696,3.16
Orlando,20,4.47
Patna,20,3.45
Pensacola,20,4.2
Pocatello,19,3.67
Pretoria,20,4.19
Puducherry,20,3.73
Pune,20,4.22
Ranchi,20,3.45
Rest of Hawaii,20,4.41
Rio de Janeiro,19,4.49
Sandton,11,4.3
Savannah,20,4.15
Sharjah,20,4.03
Singapore,20,3.58
Sioux City,20,3.76
Surat,20,3.94
S��o Paulo,17,4.15
Tampa Bay,20,4.41
Vadodara,20,4.03
Valdosta,20,3.72
Varanasi,20,3.51
Vizag,20,4.0
Waterloo,20,3.65
Wellington City,20,4.25
��stanbul,14,4.29
