cuisines,Restaurant_Count,Average_Rating
"American, Burger",13,4.08
"Cafe, Continental, Italian",10,4.08
"Japanese, Sushi",18,4.04
"Cafe, Italian",11,3.91
"Cafe, Continental",11,3.88
"Italian, Pizza",23,3.8
"Cafe, Tea",18,3.75
"Continental, North Indian",12,3.71
"Cafe, Bakery",13,3.7
"Pizza, Italian",19,3.67
"Cafe, Fast Food",17,3.66
"Desserts, Beverages",11,3.65
"Burger, Desserts, Fast Food",19,3.63
"North Indian, Chinese, Continental, Italian",12,3.61
"Desserts, Bakery",10,3.6
"North Indian, Chinese, Italian",14,3.57
"Desserts, Ice Cream",24,3.57
"Continental, Italian",13,3.54
"Continental, North Indian, Chinese",10,3.54
"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",14,3.53
"North Indian, Continental",26,3.52
"Chinese, Thai",48,3.52
"Burger, Fast Food",39,3.49
"Bakery, Desserts, Fast Food",61,3.48
"Biryani, Mughlai",10,3.42
"Bakery, Desserts",116,3.4
"North Indian, Chinese, Continental",58,3.4
"Fast Food, Street Food",12,3.4
"Fast Food, Burger",56,3.4
"Ice Cream, Desserts",68,3.39
"North Indian, Biryani",10,3.38
"Mughlai, North Indian, Chinese",16,3.36
"American, Fast Food",20,3.35
"Fast Food, Beverages",31,3.3
"Mughlai, North Indian",38,3.3
"North Indian, Street Food",18,3.29
"North Indian, Mughlai",294,3.28
"Bakery, Fast Food",79,3.28
"North Indian, Continental, Chinese",15,3.27
"Beverages, Fast Food",11,3.27
"Street Food, North Indian",10,3.25
"Street Food, Mithai",11,3.22
"Fast Food, Chinese",27,3.21
"Fast Food, North Indian",34,3.21
"North Indian, Fast Food",56,3.2
"South Indian, North Indian, Chinese",38,3.17
"South Indian, North Indian",18,3.16
"North Indian, Chinese, Mughlai",61,3.14
"Mithai, Street Food",70,3.14
"North Indian, Chinese, South Indian",21,3.14
"Raw Meats, North Indian, Fast Food",43,3.12
"North Indian, Chinese",397,3.12
"North Indian, Mughlai, Chinese",164,3.09
"North Indian, South Indian, Chinese",29,3.08
"Chinese, North Indian",65,3.08
"South Indian, Chinese",27,3.06
"Pizza, Fast Food",113,3.05
"Italian, Pizza, Fast Food",34,3.04
"North Indian, Chinese, Fast Food",61,3.03
"Chinese, Fast Food",80,3.03
"North Indian, South Indian",18,3.02
"North Indian, South Indian, Chinese, Fast Food",11,3.0
"American, Fast Food, Salad, Healthy Food",60,3.0
"Raw Meats, Fast Food",27,2.99
"Biryani, North Indian",16,2.86
